ID Cliente; Nome Completo ;CPF;Data Nasc.;E-mail;Telefone ;Cidade;UF ;Renda Mensal (R$);Segmento;Data Cadastro
CLT-0177;Mariana Nascimento;295.431.65266;11/12/85;mariana.nascimento84@hotmail.com;;Florianópolis;SC;32775.97;Premium;17/02/20
CLT-0694;Nicolas Santos Ribeiro;374.495.975-21;1997-04-10;nicolas.ribeiro55@yahoo.com.br;21 988246281;BELÉM;PA;44432.47;varejo;2022-05-25
CLT-0675;Renato Nascimento;917.650.471-88;19/08/1964;renato.nascimento62@gmail.com;(47) 96574-5488;São Paulo;SP ;54.944,98;Varejo;19/03/2025
CLT-0163;Lucas Cardoso;244.714.627-30;10/03/1987;lucas.cardoso63@gmail.com;+55 21 96927-8872;Recife;PE ;39764,02;varejo;04-set-2025
CLT-0520;  Fátima Rodrigues;33647704130;1959-06-25;fatima.rodrigues65@bol.com.br;21967194162;Recife;PE;10466.56;Private;26-mai-2024
CLT-0279;Gabriela Oliveira Monteiro;574.902.504-29;1998-06-27;gabriela.monteiro88@yahoo.com.br;61 993689326;Vitória;ES ;11397.01;Varejo;27/10/2019
CLT-0484;GUSTAVO CARVALHO;075.988.978-65;2005-08-26;GUSTAVO.CARVALHO22@YAHOO.COM.BR;(41) 96058-4326;Curitiba;PR;R$ 5.677,43;VAREJO;29/07/2023
CLT-0152;César Santos;903.202.041-79;1953-04-28;cesar.santos87@bol.com.br;+55 21 92870-9145;Vitória;ES;6107.06;Varejo;31-05-2016
CLT-0356;Olívia Teixeira;23945354614;1968-09-26;olivia.teixeira51@hotmail.com;(19) 99385-7646;Sao Paulo;SP;R$ 15.532,16;Varejo;10-09-2023
CLT-0585;césar rodrigues;43322622777;18/07/1957;cesar.rodrigues89@bol.com.br;+55 21 97785-9294;Fortaleza;CE ;sem info;Premium;05/01/24
CLT-0343;Mariana Almeida;32657327599;1954-07-26;mariana.almeida4@hotmail.com;(11) 92590-2070;Fortaleza;CE;;PREMIUM;08/06/22
CLT-0691;Rafaela  Carvalho;01655623887;20/10/92;rafaela.carvalho33@gmail.com;81972406694;Recife;PE ;R$ 33219.28;Private;30/04/2020
CLT-0425;VERA COSTA NASCIMENTO;768.172.257-75;30-dez-1961;;(85) 95352-8927;Belo Horizonte;MG;R$ 26.406,03;Varejo;25/09/2015
CLT-0345;Marcos Rocha;159.709.962-54;13/10/1951;marcos.rocha39@yahoo.com.br;85913849021;Campinas;SP;R$ 3.999,37;Private;10-05-2020
CLT-0539;tatiane almeida freitas;70675169139;28/04/51;tatiane.freitas51@bol.com.br;61933272465;Fortaleza;CE;15229.58;Premium;13/02/24
CLT-0377;Juliana Barbosa;657.422.319-64;02/03/1952;juliana.barbosa75@gmail.com;(51) 91198-3178;Brasilia;DF ;3.243,77;Private;13-05-2024
CLT-0205;Natália Barbosa;03337363466;08/01/65;natalia.barbosa48@bol.com.br;(61) 95170-2388;Rio de Janeiro;RJ;R$ 30.733,42;premium;2024-12-20
CLT-0753;Eduarda  Silva;628.092.411-50;03/09/1972;eduarda.silva38@outlook.com;(47) 97683-7810;Sao Paulo;SP ;23799.35;VAREJO;18/05/2019
CLT-0677;Sofia Campos;5669375402;24-05-1973;sofia.campos56@bol.com.br;71 921818727;Recife;PE ;19.716,86;Premium;06/10/18
CLT-0289;Felipe Ferreira Ribeiro;637.579.145-21;10/09/2001;felipe.ribeiro3@yahoo.com.br;(81) 95095-2374;Fortaleza;CE ;48583.15;varejo;2025-08-15
CLT-0358;Vinícius Carvalho   ;31072011379;01/01/1950;vinicius.carvalho55@outlook.com;+55 11 98859-2036;VITÓRIA;ES ;R$ 1.467,42;Varejo;17/06/2016
CLT-0754;Karina Costa Rocha   ;539.501.115-25;1983-06-02;karina.rocha59@yahoo.com.br;+55 31 98585-8296;vitória;ES ;19.054,81;Varejo;2018-12-22
CLT-0161;João Silva;028.140.693-75;23/09/1978;joao.silva97@bol.com.br;(19) 94197-9625;Fortaleza;CE;R$ 16742.53;PREMIUM;26/03/2021
CLT-0460;Sofia Gomes;716.198.273-48;26/03/95;sofia.gomes60@yahoo.com.br;(62) 92158-1581;Porto Alegre;RS;R$ 6.078,88;Varejo;21-11-2022
CLT-0006;  Lucas Rodrigues;36026064746;07-11-1987;lucas.rodrigues13@gmail.com;(85) 98973-3536;Curitiba;pr;R$ 5.932,65;Varejo;2016-04-24
CLT-0023;Vinícius Teixeira;605.766.27028;18/05/1975;vinicius.teixeira98@bol.com.br;21982132633;Florianópolis;SC;7.697,84;Varejo;2018-03-26
CLT-0200;Gabriela Silva;9717911006;1955-08-22;gabriela.silva14@yahoo.com.br;(31) 92015-8240;curitiba;PR ;5033.61;PRIVATE;07/09/2024
CLT-0366;Fátima Cardoso;346.060.560-35;1965-06-20;fatima.cardoso98@gmail.com;+55 41 93086-8853;Fortaleza;CE;26589.31;Premium;2024-02-13
CLT-0073;Rafaela Almeida Santos;832.856.914-63;19/07/1956;rafaela.santos99@yahoo.com.br;+55 71 92900-8428;goiânia;GO;R$ 5.310,25;Varejo;09/12/2018
CLT-0148;Fátima Rocha;73938525800;07/04/1990;fatima.rocha56@bol.com.br;+55 21 99605-2702;Vitória;ES ;3.319,69;VAREJO;09/05/2021
CLT-0476;Ana Carvalho;326.145.430-79;1971-06-28;ANA.CARVALHO@HOTMAIL.COM;;Vitória;ES;17763.65;PREMIUM;29/05/2015
CLT-0674;Mariana Rodrigues Ribeiro;086.542.43826;18/12/83;mariana.ribeiro31@outlook.com;(85) 96402-6628;vitória;ES;R$ 49.503,11;VAREJO;17-08-2022
CLT-0695;Priscila Dias   ;64534965515;1974-08-19;priscila.dias50@hotmail.com;21976078218;Belo Horizonte;MG;2.242,79;PREMIUM;07/03/15
CLT-0761;Thiago Ferreira;594.761.21893;1952-12-29;thiago.ferreira20@gmail.com;+55 19 93416-8825;Rio de Janeiro;RJ ;11017.72;varejo;27-04-2015
CLT-0685;Natália Lima;5183025853;09-abr-1970;natalia.lima53@yahoo.com.br;61997572286;Belém;pa;R$ 7401.79;Varejo;2023-03-07
CLT-0153;henrique rocha;021.962.071-00;02/02/1979;henrique.rocha43@gmail.com;+55 19 95648-7819;Recife;PE;4135.57;varejo;2025-09-04
CLT-0582;Paulo Teixeira;71918986646;1968-10-07;paulo.teixeira47@hotmail.com;(71) 93016-4851;Belo Horizonte;MG;R$ 59.500,56;Varejo;06/02/2026
CLT-0263;Thiago Silva;84745705458;05/07/92;thiago.silva30@bol.com.br;(47) 98935-2847;Florianópolis;SC ;17.303,08;VAREJO;19/06/2015
CLT-0068;Natália Souza;74517133959;27/04/1999;natalia.souza98@yahoo.com.br;31 943854390;Campinas;SP;7.953,99;varejo;2021-04-21
CLT-0295;Diego Teixeira;216.107.05184;04/02/2006;diego.teixeira61@bol.com.br;47 912736450;Manaus;AM ;3671,87;Premium;05/02/22
CLT-0647;Isabela Rocha;288.363.688-50;1977-09-02;;;BELO HORIZONTE;MG;R$ 2.902,64;Varejo;25/07/2018
CLT-0147;Paulo Lima Pereira;50410276747;26-01-1990;paulo.pereira20@yahoo.com.br;+55 85 94828-7222;Belém;pa;5.358,27;VAREJO;21/11/2020
CLT-0201;Helena Ferreira Moreira;09193928456;1976-06-16;helena.moreira80@bol.com.br;31 949833255;GOIÂNIA;GO;R$ 16.109,31;Varejo;2021-12-28
CLT-0351;Yasmin Dias;000.000.000-00;02/01/56;yasmin.dias2@outlook.com;+55 62 94824-6120;São Paulo;SP;R$ 2689.32;Varejo;05-09-2025
CLT-0051;Vera Souza Martins;549.329.668-51;21/12/1975;vera.martins65@yahoo.com.br;;Recife;pe;sem info;Premium;2020-04-13
CLT-0778;Larissa Carvalho Cardoso;573.562.327-70;10/08/1952;;+55 61 99695-6840;Belo Horizonte;MG;17.886,55;PREMIUM;13/05/16
CLT-0035;Felipe Moreira;518.203.778-89;19/11/1956;;51 973477697;São Paulo;SP ;6072.46;Private;04-03-2016
CLT-0056;olívia gomes   ;304.699.013-98;15/08/1971;olivia.gomes68@hotmail.com;(61) 95967-1251;Belo Horizonte;MG;R$ 23.162,82;Premium;19-08-2017
CLT-0064;Larissa Teixeira;96561014388;2003-08-24;larissa.teixeira47@bol.com.br;41983037129;Florianópolis;SC;9312.43;VAREJO;23/03/2026
CLT-0807;Vinícius Gomes;909.371.645-81;31/01/1987;vinicius.gomes61@bol.com.br;81950455454;Curitiba;pr;R$ 23654.63;premium;24/09/2021
CLT-0797;Eduarda Gomes;885.237.748-77;1960-09-12;eduarda.gomes65@hotmail.com;85929823408;campinas;SP;R$ 12.358,89;Premium;15/02/2017
CLT-0269;TATIANE CARVALHO SOUZA;588.358.681-22;17-08-1991;TATIANE.SOUZA85@BOL.COM.BR;(61) 98528-3294;Porto Alegre;RS;25572.14;varejo;17/10/21
CLT-0403;Fátima Gomes;2790504043;25/02/1992;fatima.gomes3@hotmail.com;(61) 94183-9621;Belém;PA;R$ 5.157,67;Premium;27/09/2017
CLT-0335;Lucas Carvalho;298.217.39295;30/06/01;;;belém;PA ;19496.38;Private;20/06/2016
CLT-0568;Priscila Carvalho Araújo   ;546.623.236-06;1972-12-14;priscila.araujo90@outlook.com;(47) 99666-7680;Salvador;BA;R$ 24.754,26;Private;2023-05-13
CLT-0069;Sofia Rodrigues;367.294.667-11;16-12-1975;sofia.rodrigues53@gmail.com;;Belo Horizonte;MG ;R$ 7.401,71;Varejo;21/01/15
CLT-0110;Larissa Freitas;43009818063;03/08/1970;LARISSA.FREITAS@HOTMAIL.COM;61927463535;Salvador;BA;10.790,15;Varejo;10/11/20
CLT-0735;Natália Moreira;40567712515;10-09-1963;natalia.moreira20@yahoo.com.br;51 926759463;Porto Alegre;RS;R$ 6.343,26;Varejo;15/05/26
CLT-0072;Fátima Araújo;364.037.613-79;23/11/02;fatima.araujo77@bol.com.br;(11) 96916-6185;rio de janeiro;RJ;8321,89;VAREJO;09/06/2024
CLT-0120;Wesley Dias;080.214.427-03;07/05/1996;wesley.dias24@hotmail.com;41966017885;Rio de Janeiro;rj;30885.37;Varejo;2023-05-01
CLT-0704;Olívia Araújo   ;96714803007;02/03/1969;olivia.araujo40@hotmail.com;+55 61 98159-6976;Brasilia;DF;R$ 4.893,90;VAREJO;2015-07-26
CLT-0532;Lucas Almeida Costa;534.460.42276;11/02/91;lucas.costagmail.com;(51) 97272-1412;Belo Horizonte;mg;R$ 1.364,60;Varejo;22/04/2020
CLT-0229;Gabriela Barbosa Ferreira;02562588967;07/07/1974;gabriela.ferreira40@bol.com.br;+55 19 99414-3547;GOIÂNIA;GO ;R$ 14.347,52;VAREJO;30/12/2020
CLT-0052;ÉRICO DIAS FERREIRA;2795687833;04/04/2002;erico.ferreira91@outlook.com;(81) 99653-6927;Porto Alegre;RS ;6.374,20;Varejo;20-05-2016
CLT-0053;Yasmin Monteiro;039.106.51801;1964-10-05;yasmin.monteiro8@yahoo.com.br;51 976983948;Belém;pa;14766.93;Premium;05/06/2024
CLT-0383;  Felipe Lima;550.178.332-58;21/04/1987;felipe.lima64@outlook.com;85 942228126;florianópolis;SC ;13014.44;premium;2015-11-19
CLT-0149;Vera Rocha;447.174.654-21;07/02/1955;vera.rochagmail.com;(71) 96450-1984;SÃO PAULO;SP;5191,81;PREMIUM;2018-12-28
CLT-0441;Kevin  Teixeira Rocha;421.702.851-62;26/11/79;kevin.rocha54@outlook.com;(47) 94983-7662;Porto Alegre;rs;48.814,20;Varejo;2015-01-03
CLT-0596;WESLEY MONTEIRO;708.477.954-17;26/05/1990;wesley.monteiro8@gmail.com;;Curitiba;PR;19741,93;PREMIUM;22-11-2015
CLT-0717;Otávio Silva;2039221317;05/11/1962;otavio.silva4@yahoo.com.br;;Salvador;BA ;R$ 41201.36;Varejo;2017-12-15
CLT-0702;Gabriela Rodrigues Barbosa;595.083.745-60;02/11/1989;gabriela.barbosa64@bol.com.br;(47) 97361-2651;Manaus;AM ;17.846,18;Varejo;2015-09-13
CLT-0059;Natália Dias;334.101.666-87;16/07/1951;natalia.dias25@bol.com.br;31 923549189;Brasília;DF ;11207.90;Private;2022-06-06
CLT-0298;Tatiane Almeida;559.690.515-02;14/02/1981;tatiane.almeida27@outlook.com;;Campinas;SP;R$ 4.673,81;Varejo;2025-06-21
CLT-0431;vinícius freitas;22946209355;07-11-1990;;+55 21 91020-4516;BRASÍLIA;df;2.528,45;Varejo;29/09/2022
CLT-0105;isabela rocha;36452577754;15/01/1982;isabela.rocha79@outlook.com;19 923435597;Campinas;SP ;R$ 52.307,99;Varejo;29/05/2019
CLT-0037;wesley costa;38347359774;1980-03-19;wesley.costa93@yahoo.com.br;71 936554271;Vitória;ES;R$ 16.635,03;premium;10/08/2020
CLT-0680;Samuel Araújo;759.443.485-29;17/01/1977;samuel.araujo51@yahoo.com.br;62 985315157;Curitiba;PR;56069,15;Premium;2020-05-20
CLT-0189;  Kevin Monteiro;0290846684;21/09/1986;;+55 51 99647-3406;Belo Horizonte;MG;7.746,39;Varejo;08/08/19
CLT-0522;Renato Lima Costa;326.118.900-34;1974-11-09;renato.costa23@outlook.com;(62) 97250-4524;Goiânia;go;sem info;varejo;2025-01-23
CLT-0624;Yasmin Araújo;452.898.606-10;1999-07-28;yasmin.araujo36@hotmail.com;41 948268411;São Paulo;SP ;44.109,71;Varejo;21/12/2015
CLT-0192;ISABELA LIMA;408.215.454-47;18/05/1995;ISABELA.LIMA61@GMAIL.COM;;Recife;pe;R$ 58.072,87;Varejo;11/05/2021
CLT-0402;Otávio  Teixeira;706.462.554-02;01/05/1965;otavio.teixeira97@hotmail.com;19970466569;Recife;PE ;R$ 14.339,85;Private;20-abr-2019
CLT-0008;Débora Oliveira Ferreira;824.493.534-87;27/03/98;debora.ferreira84@bol.com.br;11 925127939;Campinas;SP;R$ 7.176,97;varejo;25-06-2022
CLT-0541;  RENATO OLIVEIRA OLIVEIRA;738.551.281-77;25/09/1970;renato.oliveira64@yahoo.com.br;41970969155;Recife;pe;R$ 52.810,52;Premium;27/10/2020
CLT-0066;  Samuel Freitas Dias;91557924991;19/11/1984;samuel.dias24@outlook.com;(41) 96003-2916;belém;PA;11148.24;VAREJO;16/06/2026
CLT-0260;fátima almeida lima;798.363.14624;1969-01-23;fatima.lima98@outlook.com;21 934138552;Rio de Janeiro;RJ;6448.80;Varejo;24/05/2020
CLT-0623;Tatiane Lima;78037891213;1973-07-25;;;Brasília;DF;R$ 1487.01;VAREJO;2024-01-11
CLT-0770;Érico Oliveira;60855717490;1953-07-13;erico.oliveira57@yahoo.com.br;47974059457;Manaus;AM ;R$ 51.334,71;Varejo;2015-10-13
CLT-0581;Helena Souza Ribeiro;850.153.017-31;20-07-1986;helena.ribeiro82@hotmail.com;61979341884;Campinas;SP ;12.873,26;Premium;21/05/2016
CLT-0112;Gustavo Moreira   ;83920530214;24/06/1984;gustavo.moreira64@yahoo.com.br;71976424281;SALVADOR;BA;7327.55;VAREJO;16/07/16
CLT-0567;Ana Campos Campos;284.976.039-67;28/10/96;ana.campos48@hotmail.com;51949697151;Belo Horizonte;MG ;3583,55;Varejo;30/11/2021
CLT-0820;fátima costa;48882372544;08/11/2000;fatima.costa56@hotmail.com;(61) 94319-6356;GOIÂNIA;GO;13681,66;Premium;2019-03-09
CLT-0181;Tatiane Pereira Pereira;04165915201;03-02-1961;tatiane.pereira1@bol.com.br;+55 81 98439-5412;Rio de Janeiro;rj;;premium;28/02/2025
CLT-0487;Gustavo Araújo;9393449743;17/11/04;gustavo.araujo38@hotmail.com;51 912819615;Campinas;SP ;1976,26;varejo;04/11/2018
CLT-0713;Carla Teixeira;59476111079;06/11/1997;carla.teixeira45@yahoo.com.br;+55 81 96931-5750;São Paulo;SP ;39.345,95;varejo;2022-08-28
CLT-0639;karina barbosa;302.853.272-76;1975-04-30;karina.barbosa9@outlook.com;19946365178;Campinas;sp;4704.58;varejo;16/05/2016
CLT-0108;Vera Dias;809.202.42869;1982-07-01;vera.dias62@hotmail.com;(62) 95644-2404;curitiba;pr;6412.67;Varejo;28/07/25
CLT-0432;Samuel Almeida Ribeiro;061.592.738-74;1958-09-20;samuel.ribeiro17@hotmail.com;11982592398;Manaus;AM;4667,11;varejo;2015-07-03
CLT-0114;César Oliveira Cardoso;95211179080;17/08/1973;cesar.cardoso96@hotmail.com;61990665501;Recife;PE;R$ 4398.50;varejo;19/06/2026
CLT-0244;Felipe Monteiro Barbosa;563.411.159-50;24/05/1970;felipe.barbosa24@bol.com.br;+55 21 92070-4471;Vitoria;ES ;39096.65;Premium;07/12/2021
CLT-0679;Marcos Carvalho Araújo   ;689.633.181-23;1976-05-16;marcos.araujo19@gmail.com;+55 71 92454-8811;Campinas;SP;10587.58;VAREJO;2016-01-27
CLT-0142;Sofia Costa;615.396.695-83;2004-03-24;sofia.costagmail.com;+55 62 98972-2873;Belo Horizonte;MG ;5.574,39;varejo;10-03-2017
CLT-0022;Isabela Gomes;274.846.773-78;10/04/1999;isabela.gomes21@outlook.com;47 993273236;FLORIANÓPOLIS;SC ;R$ 2.511,85;Varejo;22/04/2024
CLT-0288;bruno freitas;411.186.008-92;1953-03-28;bruno.freitas30@hotmail.com;71 941836114;Brasília;DF;35.114,27;VAREJO;11/07/2015
CLT-0156;Kevin Carvalho;7740633569;1959-12-20;kevin.carvalho79@hotmail.com;;CAMPINAS;sp;R$ 36.467,85;Premium;22-07-2025
CLT-0800;Larissa Teixeira;645.257.33090;1994-09-18;larissa.teixeira20@gmail.com;(51) 91642-7243;Fortaleza;CE ;R$ 7.887,36;Varejo;20/07/2026
CLT-0709;César Rocha Souza;07421531936;19-11-2007;cesar.souzagmail.com;61 938157578;Manaus;AM;R$ 6.013,94;Varejo;2017-07-15
CLT-0127;igor ribeiro;067.998.136-46;19/03/1981;igor.ribeiro82@yahoo.com.br;81918079980;São Paulo;SP ;R$ 11.831,80;Varejo;2026-04-03
CLT-0062;TATIANE RIBEIRO;715.437.993-71;09/02/1951;tatiane.ribeiro22@yahoo.com.br;71 964437224;Florianópolis;SC;R$ 4.710,14;Varejo;2022-07-05
CLT-0096;Karina Monteiro Lima   ;717.751.701-66;1963-05-04;karina.lima36@gmail.com;+55 21 95990-9328;Curitiba;PR;2415.24;varejo;26-mar-2025
CLT-0514;Vera Carvalho;68112303885;10-05-2007;vera.carvalho34@outlook.com;+55 21 92342-5026;Porto Alegre;rs;R$ 28244.43;Premium;15/10/2016
CLT-0207;GUSTAVO TEIXEIRA;153.663.778-05;25/03/86;gustavo.teixeira30@hotmail.com;51 911589188;Porto Alegre;RS ;43480,15;Premium;15/08/2022
CLT-0687;Karina Souza;14613315553;20-dez-1977;karina.souza7@bol.com.br;(61) 94661-1638;Curitiba;pr;32575,79;Private;28/08/2021
CLT-0274;Larissa Santos;31903689003;27/07/1999;LARISSA.SANTOS@HOTMAIL.COM;(31) 98185-3958;Vitória;ES;R$ 18.842,62;Varejo;23-jun-2020
CLT-0499;vinícius gomes freitas   ;646.419.623-42;08/07/1973;vinicius.freitas65@yahoo.com.br;(71) 93372-3933;CAMPINAS;SP ;R$ 10.934,62;premium;2021-11-08
CLT-0111;Nicolas Ribeiro;213.865.89026;28/08/1985;nicolas.ribeiro74@outlook.com;;Recife;PE ;3.003,23;Premium;08/06/2016
CLT-0273;Isabela Almeida;918.724.010-78;01/05/1955;isabela.almeida10@bol.com.br;(81) 95971-4731;Recife;PE ;R$ 3.289,51;PRIVATE;2019-05-27
CLT-0518;Felipe Barbosa Rodrigues;510.388.027-30;1980-10-13;felipe.rodrigues80@yahoo.com.br;;Goiânia;GO;18.699,72;Varejo;19/04/2017
CLT-0192;isabela lima;408.215.454-47;18/05/1995;isabela.lima61@gmail.com;;Recife;pe;R$ 58.072,87;Varejo;11/05/2021
CLT-0477;otávio araújo;87447017320;1994-06-21;OTAVIO.ARAUJO@HOTMAIL.COM;;Goiânia;GO;9.877,02;Premium;2017-12-17
CLT-0732;Renato Almeida;164.560.59563;04/07/2004;renato.almeida49@bol.com.br;;Porto Alegre;RS ;12470.89;premium;2019-09-13
CLT-0818;  João Martins;205.353.131-84;1980-07-09;joao.martins67@bol.com.br;+55 61 94767-5721;porto alegre;rs;R$ 8.750,23;Private;05-11-2017
CLT-0017;Débora  Rodrigues;436.349.578-85;11-01-1969;debora.rodrigues11@hotmail.com;(61) 96764-8434;Vitória;ES;R$ 47.624,37;Varejo;15-09-2017
CLT-0600;Priscila Carvalho Souza;445.684.467-94;08-05-1970;priscila.souza96@gmail.com;;MANAUS;am;2582,11;Premium;2016-06-27
CLT-0144;Renato Araújo Souza;56242201027;15-fev-1983;renato.souza41@yahoo.com.br;+55 31 92387-3248;Belo Horizonte;MG;5.458,36;Varejo;24/03/25
CLT-0385;Diego Lima;701.242.446-26;07/11/2003;diego.lima50@bol.com.br;;Vitória;ES ;20568.45;VAREJO;15/07/2016
CLT-0530;Yasmin Barbosa Teixeira;818.223.879-40;01/12/74;yasmin.teixeira56@yahoo.com.br;31915519697;Curitiba;pr;1626,19;PREMIUM;22/02/2026
CLT-0708;Carla Gomes   ;496.741.991-60;20/03/63;carla.gomes74@hotmail.com;41 913347339;Belo Horizonte;MG;R$ 16.055,44;premium;29-set-2015
CLT-0454;Yasmin Gomes;459.671.50066;1967-06-30;;(71) 95401-2507;Florianópolis;sc;R$ 7975.63;varejo;25/10/23
CLT-0648;MARIANA CARVALHO;598.125.597-77;15/02/2001;mariana.carvalho83@bol.com.br;(47) 99126-7228;Recife;PE;19.609,47;Varejo;20/03/19
CLT-0327;Kevin Ribeiro;601.444.856-45;15/02/1960;kevin.ribeiro14@gmail.com;(81) 94977-9109;São Paulo;SP ;34.501,98;premium;17/12/2020
CLT-0117;Débora Martins;25355449647;15/07/75;debora.martins81@hotmail.com;62995358377;campinas;sp;R$ 36.872,66;Premium;09/07/2015
CLT-0162;  Yasmin Moreira Moreira;767.426.629-91;03/11/1957;yasmin.moreira92@yahoo.com.br;;Rio de Janeiro;RJ;34.054,20;Premium;06/06/2023
CLT-0204;Nicolas Gomes;55963099384;12/05/2031;nicolas.gomes80@yahoo.com.br;11 955883071;Belo Horizonte;MG;R$ 3794.20;Varejo;19/12/2025
CLT-0340;Yasmin Santos;70713984822;17/11/1968;yasmin.santos26@gmail.com;21920677716;FLORIANÓPOLIS;sc;N/A;Premium;20/03/2022
CLT-0658;Rafaela Costa;34369531029;06/02/1972;rafaela.costagmail.com;(19) 92756-6254;Florianópolis;SC;R$ 8.291,39;Varejo;28/07/17
CLT-0287;Carla Gomes;55810835832;27/06/1980;CARLA.GOMES@HOTMAIL.COM;62 947575754;São Paulo;sp;R$ 3430.16;Premium;2022-06-08
CLT-0798;LARISSA TEIXEIRA TEIXEIRA;682.100.370-90;26-05-1999;larissa.teixeira56@outlook.com;81995221995;Florianópolis;SC;14.591,77;Varejo;08/05/24
CLT-0427;Érico Dias;430.954.497-91;1979-03-02;erico.dias35@yahoo.com.br;(47) 98189-1044;brasília;df;R$ 49.746,40;varejo;26/07/2016
CLT-0254;Samuel Oliveira;361.706.171-36;23/08/1954;samuel.oliveira77@gmail.com;(81) 93639-3945;Florianópolis;SC ;R$ 23711.09;premium;15/09/2015
CLT-0328;Vera Teixeira;05779806603;20/04/2000;vera.teixeira83@gmail.com;;Florianópolis;SC;34428,03;PREMIUM;29-03-2025
CLT-0721;JOÃO TEIXEIRA;163.971.492-07;09/05/70;joao.teixeira44@bol.com.br;;Manaus;am;R$ 12.124,05;private;28-06-2025
CLT-0408;Érico Carvalho Dias   ;26999699648;17-02-2005;erico.dias91@gmail.com;62 984742468;Curitiba;PR ;R$ 20.630,93;PRIVATE;2023-03-19
CLT-0654;Helena Costa   ;127.943.379-53;10-09-1955;helena.costa1@outlook.com;(21) 92829-3330;GOIÂNIA;GO;10.219,90;Varejo;28/08/2015
CLT-0316;érico carvalho;488.402.155-73;1998-04-04;erico.carvalho53@hotmail.com;(81) 96934-6456;São Paulo;SP ;R$ 42473.46;VAREJO;22/10/2020
CLT-0067;Lucas Lima;68876767721;15-12-1987;lucas.lima18@hotmail.com;(41) 95785-1535;campinas;SP;1.992,08;Varejo;09-10-2018
CLT-0620;João Barbosa;686.240.87100;18-nov-1990;joao.barbosa61@gmail.com;+55 71 97703-9871;Belo Horizonte;MG;18308.26;Varejo;2017-04-01
CLT-0164;yasmin carvalho dias;28554451895;14/04/1973;yasmin.dias46@gmail.com;85 956107111;VITÓRIA;ES;5.883,26;PREMIUM;28/08/2018
CLT-0130;FÁTIMA MONTEIRO;2055543840;27/09/70;fatima.monteiro65@yahoo.com.br;(11) 95590-4695;São Paulo;SP;8477,03;Varejo;29/01/2018
CLT-0323;yasmin ribeiro;977.539.673-79;1961-10-25;yasmin.ribeiro81@gmail.com;;Fortaleza;CE ;R$ 7.907,89;Varejo;07/03/2019
CLT-0789;Priscila Freitas;58258545513;16/04/1980;priscila.freitas84@hotmail.com;;Curitiba;PR;R$ 53629.18;Varejo;14-09-2018
CLT-0123;Tatiane Cardoso;86209593518;26/02/2000;tatiane.cardoso77@bol.com.br;+55 19 99151-3525;São Paulo;SP;R$ 13.392,61;VAREJO;23/03/2022
CLT-0637;Fátima Monteiro;01685647177;24/05/1986;FATIMA.MONTEIRO@HOTMAIL.COM;47 916093535;Porto Alegre;RS ;2433.11;VAREJO;2017-04-21
CLT-0179;Yasmin Dias Barbosa;64652809242;10/09/57;yasmin.barbosa13@bol.com.br;81931612468;Belem;PA;1.429,26;Varejo;07/03/2018
CLT-0041;Marcos Dias;796.275.705-96;05-out-1966;marcos.diasgmail.com;11922297655;Belém;PA ;2625,40;Varejo;03-ago-2018
CLT-0660;diego silva;58676030409;06-07-1978;diego.silva72@yahoo.com.br;+55 51 97686-8524;CURITIBA;PR ;R$ 10.556,56;Premium;2016-07-17
CLT-0334;Gustavo Almeida Ferreira;800.564.09951;10/08/1972;GUSTAVO.FERREIRA@HOTMAIL.COM;47991623978;Porto Alegre;RS;R$ 8730.81;Varejo;05/03/17
CLT-0325;Karina Nascimento;677.524.014-84;26-12-1958;karina.nascimento79@yahoo.com.br;47 920941970;brasília;df;R$ 19.508,68;Varejo;14-10-2025
CLT-0299;Sofia Dias;969.028.24983;2003-04-03;sofia.dias87@yahoo.com.br;31 931286458;FLORIANÓPOLIS;SC;R$ 1.960,38;VAREJO;10/01/2017
CLT-0814;Lucas Martins Araújo;891.096.19680;19/02/2005;lucas.araujo8@yahoo.com.br;(61) 93675-2459;Manaus;am;17488.55;Premium;14-11-2019
CLT-0391;Thiago Souza Rocha;106.153.722-15;1972-09-10;;19995015506;Rio de Janeiro;rj;R$ 1.458,84;VAREJO;10/04/2018
CLT-0198;Kevin Araújo   ;04793036149;12/03/1961;kevin.araujo46@hotmail.com;+55 41 93875-2070;Vitória;ES;6260.49;private;09/11/2017
CLT-0570;Otávio Rodrigues;762.914.304-91;20/05/1954;otavio.rodrigues98@bol.com.br;41994639121;Curitiba;pr;R$ 1486.20;Varejo;17/07/2025
CLT-0405;Vera Monteiro Silva;520.149.118-94;27/03/1987;vera.silva37@bol.com.br;41975049681;São Paulo;SP ;6761,50;VAREJO;15-02-2018
CLT-0266;Thiago Costa;5857567667;07/12/1978;thiago.costagmail.com;+55 71 92448-3303;Campinas;SP;R$ 35.038,64;Varejo;2020-06-10
CLT-0401;Vera Moreira Cardoso;880.442.877-38;04-10-1954;vera.cardoso68@hotmail.com;41996562051;Brasília;DF;R$ 57.125,54;Varejo;20/06/2016
CLT-0136;Lucas Pereira Rocha;814.721.458-68;15/09/1979;lucas.rocha59@bol.com.br;;São Paulo;SP ;32.912,87;PREMIUM;2021-06-10
CLT-0439;Priscila Monteiro;883.978.570-82;05/01/1952;priscila.monteiro70@yahoo.com.br;85917677861;BELÉM;PA;50.313,31;private;06-02-2017
